 e-Rb scattering
      k(a.u.)   energy(eV)      ^1S         ^3S          ^1P          ^3P
                                                                     (nonrel)
   0.3000E-02   0.1224E-03  -0.9642E-02  0.4609E-01   0.6330E-03   0.7597E-03
   0.6000E-02   0.4898E-03  -0.2412E-01  0.8388E-01   0.2565E-02   0.3586E-02
   0.9000E-02   0.1102E-02  -0.4251E-01  0.1133E+00   0.5677E-02   0.9201E-02
   0.1200E-01   0.1959E-02  -0.6403E-01  0.1351E+00   0.9919E-02   0.1857E-01
   0.1500E-01   0.3061E-02  -0.8811E-01  0.1499E+00   0.1529E-01   0.3299E-01
   0.1800E-01   0.4408E-02  -0.1143E+00  0.1587E+00   0.2178E-01   0.5418E-01
   0.2100E-01   0.6000E-02  -0.1421E+00  0.1624E+00   0.2933E-01   0.8448E-01
   0.2400E-01   0.7836E-02  -0.1714E+00  0.1618E+00   0.3786E-01   0.1272E+00
   0.2700E-01   0.9918E-02  -0.2018E+00  0.1576E+00   0.4731E-01   0.1872E+00
   0.3000E-01   0.1224E-01  -0.2330E+00  0.1503E+00   0.5760E-01   0.2715E+00
   0.3300E-01   0.1482E-01  -0.2650E+00  0.1404E+00   0.6865E-01   0.3899E+00
   0.3600E-01   0.1763E-01  -0.2975E+00  0.1284E+00   0.8039E-01   0.5543E+00
   0.3900E-01   0.2069E-01  -0.3305E+00  0.1145E+00   0.9273E-01   0.7725E+00
   0.4200E-01   0.2400E-01  -0.3638E+00  0.9908E-01   0.1056E+00   0.1035E+01
   0.4500E-01   0.2755E-01  -0.3974E+00  0.8233E-01   0.1189E+00   0.1304E+01
   0.4800E-01   0.3135E-01  -0.4312E+00  0.6447E-01   0.1324E+00   0.1539E+01
   0.5100E-01   0.3539E-01  -0.4650E+00  0.4567E-01   0.1462E+00   0.1720E+01
   0.5400E-01   0.3967E-01  -0.4990E+00  0.2610E-01   0.1601E+00   0.1852E+01
   0.5700E-01   0.4420E-01  -0.5329E+00  0.5855E-02   0.1740E+00   0.1946E+01
   0.6000E-01   0.4898E-01  -0.5669E+00  -0.1495E-01   0.1877E+00   0.2013E+01
   0.6300E-01   0.5400E-01  -0.6008E+00  -0.3622E-01   0.2013E+00   0.2061E+01
   0.6600E-01   0.5926E-01  -0.6345E+00  -0.5790E-01   0.2147E+00   0.2095E+01
   0.6900E-01   0.6477E-01  -0.6682E+00  -0.7992E-01   0.2277E+00   0.2120E+01
   0.7200E-01   0.7053E-01  -0.7017E+00  -0.1022E+00   0.2404E+00   0.2137E+01
   0.7500E-01   0.7653E-01  -0.7350E+00  -0.1248E+00   0.2526E+00   0.2148E+01
   0.7800E-01   0.8277E-01  -0.7682E+00  -0.1475E+00   0.2643E+00   0.2155E+01
   0.8100E-01   0.8926E-01  -0.8012E+00  -0.1704E+00   0.2755E+00   0.2159E+01
   0.8400E-01   0.9600E-01  -0.8339E+00  -0.1934E+00   0.2861E+00   0.2159E+01
   0.8700E-01   0.1030E+00  -0.8665E+00  -0.2166E+00   0.2962E+00   0.2158E+01
   0.9000E-01   0.1102E+00  -0.8988E+00  -0.2397E+00   0.3057E+00   0.2155E+01
   0.9300E-01   0.1177E+00  -0.9309E+00  -0.2630E+00   0.3145E+00   0.2150E+01
   0.9600E-01   0.1254E+00  -0.9627E+00  -0.2862E+00   0.3228E+00   0.2145E+01
   0.9900E-01   0.1333E+00  -0.9944E+00  -0.3095E+00   0.3304E+00   0.2138E+01
   0.1020E+00   0.1415E+00  -0.1026E+01  -0.3327E+00   0.3375E+00   0.2130E+01
   0.1050E+00   0.1500E+00  -0.1057E+01  -0.3560E+00   0.3439E+00   0.2122E+01
   0.1080E+00   0.1587E+00  -0.1088E+01  -0.3792E+00   0.3498E+00   0.2112E+01
   0.1110E+00   0.1676E+00  -0.1118E+01  -0.4023E+00   0.3552E+00   0.2103E+01
   0.1140E+00   0.1768E+00  -0.1149E+01  -0.4254E+00   0.3601E+00   0.2093E+01
   0.1170E+00   0.1862E+00  -0.1179E+01  -0.4485E+00   0.3644E+00   0.2082E+01
   0.1200E+00   0.1959E+00  -0.1209E+01  -0.4715E+00   0.3683E+00   0.2072E+01
   0.1230E+00   0.2058E+00  -0.1238E+01  -0.4944E+00   0.3717E+00   0.2060E+01
   0.1260E+00   0.2160E+00  -0.1268E+01  -0.5172E+00   0.3746E+00   0.2049E+01
   0.1290E+00   0.2264E+00  -0.1297E+01  -0.5400E+00   0.3772E+00   0.2038E+01
   0.1320E+00   0.2371E+00  -0.1325E+01  -0.5626E+00   0.3794E+00   0.2026E+01
   0.1350E+00   0.2480E+00  -0.1354E+01  -0.5852E+00   0.3812E+00   0.2014E+01
   0.1380E+00   0.2591E+00  -0.1382E+01  -0.6077E+00   0.3827E+00   0.2002E+01
 #  0.1410E+00   0.2705E+00  -0.1410E+01  -0.6301E+00   0.3838E+00   0.1990E+01
 #  0.1440E+00   0.2821E+00  -0.1438E+01  -0.6523E+00   0.3847E+00   0.1978E+01
 #  0.1470E+00   0.2940E+00  -0.1466E+01  -0.6745E+00   0.3853E+00   0.1965E+01
 #  0.1500E+00   0.3061E+00  -0.1493E+01  -0.6965E+00   0.3856E+00   0.1953E+01
 #  0.1530E+00   0.3185E+00  -0.1520E+01  -0.7184E+00   0.3857E+00   0.1941E+01
 #  0.1560E+00   0.3311E+00  -0.1547E+01  -0.7403E+00   0.3857E+00   0.1928E+01
 #  0.1590E+00   0.3439E+00  -0.1573E+01  -0.7620E+00   0.3854E+00   0.1916E+01
 #  0.1620E+00   0.3570E+00  -0.1600E+01  -0.7835E+00   0.3849E+00   0.1903E+01
 #  0.1650E+00   0.3704E+00  -0.1626E+01  -0.8050E+00   0.3843E+00   0.1891E+01
 #  0.1680E+00   0.3840E+00  -0.1652E+01  -0.8263E+00   0.3836E+00   0.1878E+01
 #  0.1710E+00   0.3978E+00  -0.1678E+01  -0.8475E+00   0.3827E+00   0.1865E+01
 #  0.1740E+00   0.4119E+00  -0.1703E+01  -0.8686E+00   0.3817E+00   0.1853E+01
 #  0.1770E+00   0.4262E+00  -0.1728E+01  -0.8896E+00   0.3807E+00   0.1840E+01
 #  0.1800E+00   0.4408E+00  -0.1753E+01  -0.9104E+00   0.3795E+00   0.1828E+01
 #  0.1830E+00   0.4556E+00  -0.1778E+01  -0.9312E+00   0.3782E+00   0.1815E+01
 #  0.1860E+00   0.4707E+00  -0.1803E+01  -0.9517E+00   0.3769E+00   0.1803E+01
 #  0.1890E+00   0.4860E+00  -0.1827E+01  -0.9722E+00   0.3755E+00   0.1790E+01
 #  0.1920E+00   0.5015E+00  -0.1852E+01  -0.9925E+00   0.3741E+00   0.1778E+01
 #  0.1950E+00   0.5173E+00  -0.1876E+01  -0.1013E+01   0.3726E+00   0.1765E+01
 #  0.1980E+00   0.5334E+00  -0.1899E+01  -0.1033E+01   0.3711E+00   0.1753E+01
 #  0.2010E+00   0.5497E+00  -0.1923E+01  -0.1053E+01   0.3696E+00   0.1740E+01
 #  0.2040E+00   0.5662E+00  -0.1946E+01  -0.1073E+01   0.3680E+00   0.1728E+01
 #  0.2070E+00   0.5830E+00  -0.1970E+01  -0.1092E+01   0.3664E+00   0.1716E+01
 #  0.2100E+00   0.6000E+00  -0.1993E+01  -0.1112E+01   0.3648E+00   0.1703E+01
 #  0.2130E+00   0.6172E+00  -0.2016E+01  -0.1131E+01   0.3632E+00   0.1691E+01
 #  0.2160E+00   0.6348E+00  -0.2038E+01  -0.1150E+01   0.3616E+00   0.1679E+01
 #  0.2190E+00   0.6525E+00  -0.2061E+01  -0.1170E+01   0.3599E+00   0.1667E+01
 #  0.2220E+00   0.6705E+00  -0.2083E+01  -0.1189E+01   0.3583E+00   0.1655E+01
 #  0.2250E+00   0.6888E+00  -0.2105E+01  -0.1208E+01   0.3566E+00   0.1643E+01
 #  0.2280E+00   0.7072E+00  -0.2127E+01  -0.1226E+01   0.3550E+00   0.1631E+01
 #  0.2310E+00   0.7260E+00  -0.2149E+01  -0.1245E+01   0.3533E+00   0.1619E+01
 #  0.2340E+00   0.7450E+00  -0.2171E+01  -0.1263E+01   0.3516E+00   0.1607E+01
 #  0.2370E+00   0.7642E+00  -0.2193E+01  -0.1282E+01   0.3500E+00   0.1595E+01
 #  0.2400E+00   0.7836E+00  -0.2214E+01  -0.1300E+01   0.3483E+00   0.1583E+01
 #  0.2430E+00   0.8034E+00  -0.2235E+01  -0.1318E+01   0.3466E+00   0.1571E+01
 #  0.2460E+00   0.8233E+00  -0.2256E+01  -0.1336E+01   0.3450E+00   0.1560E+01
 #  0.2490E+00   0.8435E+00  -0.2277E+01  -0.1354E+01   0.3433E+00   0.1548E+01
 #  0.2520E+00   0.8640E+00  -0.2298E+01  -0.1372E+01   0.3416E+00   0.1536E+01
 #  0.2550E+00   0.8847E+00  -0.2319E+01  -0.1389E+01   0.3399E+00   0.1525E+01
 #  0.2580E+00   0.9056E+00  -0.2339E+01  -0.1407E+01   0.3382E+00   0.1513E+01
 #  0.2610E+00   0.9268E+00  -0.2360E+01  -0.1424E+01   0.3364E+00   0.1502E+01
 #  0.2640E+00   0.9482E+00  -0.2380E+01  -0.1441E+01   0.3347E+00   0.1491E+01
 #  0.2670E+00   0.9699E+00  -0.2400E+01  -0.1458E+01   0.3329E+00   0.1479E+01
 #  0.2700E+00   0.9918E+00  -0.2420E+01  -0.1475E+01   0.3311E+00   0.1468E+01
 #  0.2730E+00   0.1014E+01  -0.2440E+01  -0.1492E+01   0.3292E+00   0.1457E+01
 #  0.2760E+00   0.1036E+01  -0.2460E+01  -0.1509E+01   0.3273E+00   0.1446E+01
 #  0.2790E+00   0.1059E+01  -0.2479E+01  -0.1525E+01   0.3254E+00   0.1435E+01
